,node_code,node_type,x(m),y(m),z(m),central_freq(GHz),channel_bonding_model,primary_channel,min_channel_allowed,max_channel_allowed,tpc_default(dBm),cca_default(dBm),traffic_model,traffic_load[pkt/s],packet_length,num_packets_aggregated,capture_effect_model,capture_effect_thr,constant_per,pifs_activated,cw_adaptation,cont_wind,cont_wind_stage,rssi,throughput,sinr
0,AP_A,0,10.0,10.0,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
1,STA_A1,1,0.0713,10.8079,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.35,5.79,29.36
2,STA_A2,1,1.9627,4.1427,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.41,6.11,29.48
3,STA_A3,1,13.7849,16.7538,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.52,6.91,31.97
4,STA_A4,1,6.7112,1.7487,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.42,9.99,31.26
5,STA_A5,1,13.1934,2.3628,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.96,9.44,32.05
6,STA_A6,1,17.6857,7.6662,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.72,7.25,31.69
7,STA_A7,1,19.4473,8.4359,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.96,5.88,29.04
8,STA_A8,1,4.3802,2.0739,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.06,7.38,29.86
9,STA_A9,1,16.0383,10.9948,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.61,10.91,35.6
10,STA_A10,1,17.8436,9.8488,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.94,10.05,31.86
11,STA_A11,1,12.0082,17.2247,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.01,10.26,32.88
12,STA_A12,1,4.7865,5.2762,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.38,7.93,34.69
13,STA_A13,1,19.7406,7.8867,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-57.69,4.88,28.28
14,STA_A14,1,15.8196,8.7287,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
15,AP_B,0,30.0,10.0,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
16,STA_B1,1,20.2761,9.5743,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-53.92,8.1,28.86
17,STA_B2,1,32.1268,13.9079,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.43,10.44,38.73
18,STA_B3,1,21.1853,9.4585,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.14,9.23,30.25
19,STA_B4,1,22.7941,3.326,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.34,7.57,28.93
20,STA_B5,1,25.3186,14.1397,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-53.7,8.45,34.73
21,STA_B6,1,25.6312,9.8077,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.88,12.21,39.24
22,STA_B7,1,23.994,7.5242,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.3,12.98,34.55
23,STA_B8,1,27.6101,4.246,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.01,12.36,35.41
24,STA_B9,1,36.6176,15.4905,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.51,6.98,30.07
25,STA_B10,1,35.2324,3.5209,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.16,11.83,31.14
26,STA_B11,1,22.3359,7.2701,0,5,4,6,6,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
27,AP_C,0,50.0,10.0,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
28,STA_C1,1,54.2431,18.7164,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.62,0.23,10.85
29,STA_C2,1,56.1009,15.744,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.13,1.46,18.5
30,STA_C3,1,57.5722,10.5639,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.37,7.91,27.65
31,STA_C4,1,44.0458,2.0263,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.18,7.76,22.15
32,STA_C5,1,59.8148,10.7176,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-55.09,5.3,23.95
33,STA_C6,1,47.4136,12.8169,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.02,7.53,30.27
34,STA_C7,1,43.3672,4.5284,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.43,7.37,23.36
35,STA_C8,1,51.5868,18.6822,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.11,2.0,15.03
36,STA_C9,1,53.0912,6.2136,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-67.41,7.99,28.14
37,STA_C10,1,49.7891,19.3814,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.83,2.07,15.05
38,STA_C11,1,52.2491,1.2303,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.76,4.76,22.13
39,STA_C12,1,51.5147,16.2531,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-52.6,4.99,25.96
40,STA_C13,1,50.857,7.0355,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.25,7.6,34.2
41,STA_C14,1,54.6064,17.4101,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.26,1.15,21.96
42,STA_C15,1,44.752,16.9807,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.22,2.38,20.53
43,STA_C16,1,49.108,18.1139,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.41,3.0,17.99
44,STA_C17,1,56.9919,14.4124,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
45,AP_D,0,70.0,10.0,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
46,STA_D1,1,72.5567,3.7196,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.97,3.49,31.79
47,STA_D2,1,68.9539,19.6627,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.21,1.98,25.28
48,STA_D3,1,66.4637,16.1982,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.57,2.46,30.42
49,STA_D4,1,64.4105,4.5231,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.04,2.8,30.4
50,STA_D5,1,79.5983,8.2102,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.08,3.1,27.95
51,STA_D6,1,71.9678,16.2869,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-43.67,4.72,31.98
52,STA_D7,1,71.1798,11.3355,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.02,4.92,47.05
53,STA_D8,1,67.914,4.2632,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.81,4.3,33.54
54,STA_D9,1,67.7384,16.5574,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.78,3.49,30.79
55,STA_D10,1,72.1818,3.4295,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.31,4.58,31.81
56,STA_D11,1,76.4347,17.5523,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-53.29,2.83,26.71
57,STA_D12,1,67.3324,6.7199,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
58,AP_E,0,10.0,30.0,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
59,STA_E1,1,10.169,36.14,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.56,2.69,26.8
60,STA_E2,1,10.6696,23.2196,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.28,6.45,27.69
61,STA_E3,1,4.5084,31.7788,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.43,4.07,29.35
62,STA_E4,1,3.0553,32.0476,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-67.26,5.61,26.08
63,STA_E5,1,16.1783,23.0496,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.15,6.37,22.71
64,STA_E6,1,14.1208,37.6326,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.51,0.69,24.95
65,STA_E7,1,1.165,29.2048,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.28,5.61,24.16
66,STA_E8,1,1.7793,35.5097,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.42,1.61,25.37
67,STA_E9,1,15.7552,24.8246,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-54.39,6.53,24.34
68,STA_E10,1,7.94,32.9581,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.57,5.38,32.63
69,STA_E11,1,12.9764,35.0969,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.98,4.53,26.06
70,STA_E12,1,8.1755,35.3443,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.58,3.84,26.8
71,STA_E13,1,10.8079,24.1489,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.17,6.99,29.16
72,STA_E14,1,3.3741,29.9927,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-56.46,5.91,27.74
73,STA_E15,1,14.2848,29.9348,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.15,6.37,31.05
74,STA_E16,1,15.8573,35.633,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.59,1.61,21.39
75,STA_E17,1,16.784,29.2354,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
76,AP_F,0,30.0,30.0,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
77,STA_F1,1,30.0018,26.585,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-70.66,7.45,22.19
78,STA_F2,1,21.2754,33.8238,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-47.7,0.69,11.1
79,STA_F3,1,31.4538,29.8148,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.46,7.07,31.66
80,STA_F4,1,34.5646,29.1605,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.42,5.53,18.27
81,STA_F5,1,28.598,23.8831,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-56.19,0.08,9.51
82,STA_F6,1,32.1277,32.4524,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.86,7.83,25.29
83,STA_F7,1,33.6931,22.3351,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.15,0.08,7.26
84,STA_F8,1,36.3877,31.7043,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.06,3.38,16.37
85,STA_F9,1,29.9533,24.74,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-69.77,7.14,11.85
86,STA_F10,1,22.4646,34.9449,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-71.11,2.0,11.73
87,STA_F11,1,36.3722,37.4332,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.6,0.0,8.51
88,STA_F12,1,23.7731,33.8436,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.31,4.07,16.16
89,STA_F13,1,28.5752,23.9423,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.73,0.15,14.34
90,STA_F14,1,36.7974,28.8859,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-52.91,3.38,13.53
91,STA_F15,1,29.7178,32.4005,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-69.58,7.83,28.73
92,STA_F16,1,38.1691,26.4512,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-70.72,0.0,8.13
93,STA_F17,1,20.4635,30.6506,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
94,AP_G,0,50.0,30.0,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
95,STA_G1,1,45.8872,29.1687,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-70.73,8.91,20.39
96,STA_G2,1,50.2444,39.5647,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-69.49,0.08,9.32
97,STA_G3,1,43.2143,35.6898,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.14,0.08,17.4
98,STA_G4,1,45.0062,36.3955,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-44.75,0.84,15.97
99,STA_G5,1,49.2945,29.1703,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.07,7.45,33.99
100,STA_G6,1,51.0053,33.6808,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-67.2,7.3,22.32
101,STA_G7,1,57.5078,31.3065,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.37,1.45,20.33
102,STA_G8,1,55.9058,33.2039,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.91,2.6,20.57
103,STA_G9,1,42.5351,34.1303,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-69.29,0.15,12.03
104,STA_G10,1,57.9519,26.3585,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-69.11,0.54,18.03
105,STA_G11,1,50.7649,38.6104,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-54.56,0.38,10.55
106,STA_G12,1,52.6651,30.8862,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
107,AP_H,0,70.0,30.0,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
108,STA_H1,1,66.2359,38.1465,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.52,2.94,23.64
109,STA_H2,1,64.3741,23.1251,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.63,1.57,24.7
110,STA_H3,1,75.7783,27.2942,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.82,5.68,32.93
111,STA_H4,1,63.5527,29.4678,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.61,3.76,27.38
112,STA_H5,1,71.5732,22.312,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.35,4.04,28.13
113,STA_H6,1,63.4933,33.0914,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.99,3.63,26.38
114,STA_H7,1,63.0592,25.9326,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.93,2.53,25.74
115,STA_H8,1,70.3411,37.4888,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.54,4.72,26.9
116,STA_H9,1,74.804,21.8414,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-57.52,3.66,26.39
117,STA_H10,1,67.8813,24.5111,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.13,4.53,30.65
118,STA_H11,1,63.8271,24.7228,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-56.31,1.92,25.66
119,STA_H12,1,73.2485,34.2782,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.42,5.15,33.3
120,STA_H13,1,72.4552,39.0718,0,5,4,2,2,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
121,AP_I,0,10.0,50.0,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
122,STA_I1,1,15.2819,53.4844,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.56,9.37,27.01
123,STA_I2,1,1.6806,49.2996,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.15,8.52,24.85
124,STA_I3,1,2.4273,49.3434,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.18,9.45,25.68
125,STA_I4,1,4.4574,58.1264,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-67.68,12.52,23.86
126,STA_I5,1,18.9491,46.6769,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.29,5.38,16.25
127,STA_I6,1,6.6917,44.1894,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-63.65,3.53,24.94
128,STA_I7,1,8.7704,42.7547,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.28,1.46,26.07
129,STA_I8,1,3.4051,48.9463,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-67.81,9.06,27.66
130,STA_I9,1,18.3586,54.7608,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.76,7.83,20.63
131,STA_I10,1,16.8725,44.1711,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.35,0.84,18.19
132,STA_I11,1,16.9338,53.3677,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-60.08,11.83,23.81
133,STA_I12,1,8.2383,55.41,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-65.89,10.06,30.32
134,STA_I13,1,13.5978,42.2687,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
135,AP_J,0,30.0,50.0,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
136,STA_J1,1,30.0916,45.9496,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-69.48,3.53,23.42
137,STA_J2,1,23.8337,56.3506,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.61,1.23,19.31
138,STA_J3,1,24.5097,46.7843,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-70.35,1.61,17.74
139,STA_J4,1,37.1476,43.9774,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-70.99,0.23,13.32
140,STA_J5,1,22.4171,43.9229,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-70.1,0.0,16.99
141,STA_J6,1,38.1921,54.1906,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.73,0.23,18.37
142,STA_J7,1,30.0949,44.8742,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-69.77,3.07,20.43
143,STA_J8,1,27.2731,41.4119,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-69.29,0.54,12.07
144,STA_J9,1,37.4483,45.4207,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.55,0.61,15.21
145,STA_J10,1,30.4102,53.95,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-54.68,3.3,25.88
146,STA_J11,1,31.7053,52.2698,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-70.78,2.53,29.51
147,STA_J12,1,39.4823,51.4661,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.44,0.31,15.87
148,STA_J13,1,32.1226,41.9994,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-50.89,0.84,13.33
149,STA_J14,1,28.7942,51.5944,0,5,4,0,0,7,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
150,AP_K,0,50.0,50.0,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
151,STA_K1,1,53.0669,53.3032,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.57,17.89,33.49
152,STA_K2,1,54.2224,54.7376,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-46.62,16.9,29.58
153,STA_K3,1,51.0502,51.4252,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-55.89,16.67,43.45
154,STA_K4,1,54.0392,50.6324,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-66.2,19.28,34.36
155,STA_K5,1,57.112,55.0055,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.41,15.44,25.26
156,STA_K6,1,45.8179,56.5072,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-68.21,16.82,27.16
157,STA_K7,1,43.8918,57.7386,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-58.94,15.67,23.67
158,STA_K8,1,46.6467,53.9937,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-67.14,16.82,31.55
159,STA_K9,1,45.8234,41.7715,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.37,4.07,20.03
160,STA_K10,1,49.849,43.2776,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-55.71,13.29,26.02
161,STA_K11,1,47.871,53.4172,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-57.17,15.67,34.78
162,STA_K12,1,46.5393,47.068,0,5,4,0,0,3,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
163,AP_L,0,70.0,50.0,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-62.144999999999996,5.79,27.38
164,STA_L1,1,67.8201,48.046,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-55.7,14.75,45.31
165,STA_L2,1,68.3161,54.8404,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.54,12.13,38.89
166,STA_L3,1,65.5191,43.6013,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-48.57,10.88,32.53
167,STA_L4,1,67.2137,49.5902,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-53.97,13.06,45.62
168,STA_L5,1,66.481,47.2434,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-61.43,10.98,40.1
169,STA_L6,1,73.035,42.8685,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-53.93,10.53,32.75
170,STA_L7,1,68.872,54.3073,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-47.07,13.98,40.62
171,STA_L8,1,68.1602,48.3713,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-54.15,11.9,47.1
172,STA_L9,1,67.589,53.8409,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.72,11.67,40.36
173,STA_L10,1,71.2809,56.7744,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-59.08,12.24,34.97
174,STA_L11,1,66.5955,55.6424,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-64.17,11.83,35.4
175,STA_L12,1,63.075,43.863,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,-43.74,8.46,29.68
176,STA_L13,1,68.2636,50.447,0,5,4,4,4,5,20,-82,99,10000,12000,64,0,10,0,0,0,16,5,,12.67,50.69
